MS SubClass,MS Zoning,Lot Frontage,Lot Area,Lot Shape,Lot Config,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Roof Style,Exterior 1st,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplace Qu,Garage Finish,Garage Cars,Garage Area,Garage Qual,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Fence,Sale Type,Sale Condition,SalePrice
20,RL,141,31770,IR1,Corner,1Fam,1Story,6,5,1960,Hip,BrkFace,112,TA,TA,CBlock,TA,Gd,Gd,BLQ,639,Unf,0,441,1080,Fa,Y,1656,0,0,1656,1,0,1,0,3,1,TA,7,Typ,Gd,Fin,2,528,TA,P,210,62,0,0,0,0,NA,WD ,Normal,215000
20,RH,80,11622,Reg,Inside,1Fam,1Story,5,6,1961,Gable,VinylSd,0,TA,TA,CBlock,TA,TA,No,Rec,468,LwQ,144,270,882,TA,Y,896,0,0,896,0,0,1,0,2,1,TA,5,Typ,NA,Unf,1,730,TA,Y,140,0,0,0,120,0,MnPrv,WD ,Normal,105000
20,RL,81,14267,IR1,Corner,1Fam,1Story,6,6,1958,Hip,Wd Sdng,108,TA,TA,CBlock,TA,TA,No,ALQ,923,Unf,0,406,1329,TA,Y,1329,0,0,1329,0,0,1,1,3,1,Gd,6,Typ,NA,Unf,1,312,TA,Y,393,36,0,0,0,0,NA,WD ,Normal,172000
20,RL,93,11160,Reg,Corner,1Fam,1Story,7,5,1968,Hip,BrkFace,0,Gd,TA,CBlock,TA,TA,No,ALQ,1065,Unf,0,1045,2110,Ex,Y,2110,0,0,2110,1,0,2,1,3,1,Ex,8,Typ,TA,Fin,2,522,TA,Y,0,0,0,0,0,0,NA,WD ,Normal,244000
60,RL,74,13830,IR1,Inside,1Fam,2Story,5,5,1997,Gable,VinylSd,0,TA,TA,PConc,Gd,TA,No,GLQ,791,Unf,0,137,928,Gd,Y,928,701,0,1629,0,0,2,1,3,1,TA,6,Typ,TA,Fin,2,482,TA,Y,212,34,0,0,0,0,MnPrv,WD ,Normal,189900
60,RL,78,9978,IR1,Inside,1Fam,2Story,6,6,1998,Gable,VinylSd,20,TA,TA,PConc,TA,TA,No,GLQ,602,Unf,0,324,926,Ex,Y,926,678,0,1604,0,0,2,1,3,1,Gd,7,Typ,Gd,Fin,2,470,TA,Y,360,36,0,0,0,0,NA,WD ,Normal,195500
120,RL,41,4920,Reg,Inside,TwnhsE,1Story,8,5,2001,Gable,CemntBd,0,Gd,TA,PConc,Gd,TA,Mn,GLQ,616,Unf,0,722,1338,Ex,Y,1338,0,0,1338,1,0,2,0,2,1,Gd,6,Typ,NA,Fin,2,582,TA,Y,0,0,170,0,0,0,NA,WD ,Normal,213500
120,RL,43,5005,IR1,Inside,TwnhsE,1Story,8,5,1992,Gable,HdBoard,0,Gd,TA,PConc,Gd,TA,No,ALQ,263,Unf,0,1017,1280,Ex,Y,1280,0,0,1280,0,0,2,0,2,1,Gd,5,Typ,NA,RFn,2,506,TA,Y,0,82,0,0,144,0,NA,WD ,Normal,191500
120,RL,39,5389,IR1,Inside,TwnhsE,1Story,8,5,1995,Gable,CemntBd,0,Gd,TA,PConc,Gd,TA,No,GLQ,1180,Unf,0,415,1595,Ex,Y,1616,0,0,1616,1,0,2,0,2,1,Gd,5,Typ,TA,RFn,2,608,TA,Y,237,152,0,0,0,0,NA,WD ,Normal,236500
60,RL,60,7500,Reg,Inside,1Fam,2Story,7,5,1999,Gable,VinylSd,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,994,994,Gd,Y,1028,776,0,1804,0,0,2,1,3,1,Gd,7,Typ,TA,Fin,2,442,TA,Y,140,60,0,0,0,0,NA,WD ,Normal,189000
